y,z,phi,vy,vz,phi_dot
-2.6442,1.5206,0.0097616,-3.6528,1.4098,7.7744
-2.6808,1.5347,0.095659,-3.6581,1.4163,9.4038
-2.7175,1.5489,0.19775,-3.6723,1.415,11.008
-2.7543,1.563,0.3156,-3.6951,1.4048,12.548
-2.7914,1.5769,0.44837,-3.7261,1.3847,13.985
-2.8288,1.5906,0.59482,-3.7641,1.3533,15.275
-2.8667,1.604,0.75323,-3.8069,1.3095,16.371
-2.905,1.6168,0.92141,-3.8511,1.2518,17.221
-2.9437,1.6289,1.0967,-3.8898,1.1791,17.774
-2.9827,1.6403,1.2757,-3.9066,1.0897,17.971
-3.0217,1.6507,1.4554,-3.9066,0.99164,17.971
-3.0608,1.6601,1.6351,-3.9066,0.89354,17.971
-3.0999,1.6686,1.8148,-3.9066,0.79544,17.971
-3.1389,1.676,1.9945,-3.9066,0.69734,17.971
-3.178,1.6825,2.1743,-3.9066,0.59924,17.971
-3.2171,1.688,2.354,-3.9066,0.50114,17.971
-3.2561,1.6926,2.5337,-3.9066,0.40304,17.971
-3.2952,1.6961,2.7134,-3.9066,0.30494,17.971
-3.3343,1.6987,2.8931,-3.9066,0.20684,17.971
-3.3733,1.7002,3.0728,-3.9066,0.10874,17.971
-3.4124,1.7008,3.2525,-3.9066,0.010645,17.971
-3.4515,1.7004,3.4322,-3.9066,-0.087455,17.971
-3.4905,1.6991,3.6119,-3.9066,-0.18556,17.971
-3.5296,1.6967,3.7917,-3.9066,-0.28366,17.971
-3.5687,1.6934,3.9714,-3.9066,-0.38176,17.971
-3.6077,1.6891,4.1511,-3.9066,-0.47986,17.971
-3.6468,1.6838,4.3308,-3.9066,-0.57796,17.971
-3.6859,1.6775,4.5105,-3.9066,-0.67606,17.971
-3.7249,1.6703,4.6902,-3.9066,-0.77416,17.971
-3.764,1.6621,4.8699,-3.9066,-0.87226,17.971
-3.803,1.6529,5.0492,-3.8892,-0.9642,17.833
-3.8417,1.6428,5.2257,-3.8508,-1.0443,17.44
-3.88,1.632,5.3972,-3.8087,-1.1133,16.826
-3.9179,1.6206,5.5616,-3.7679,-1.1718,16.022
-3.9554,1.6086,5.7171,-3.7311,-1.2204,15.057
-3.9925,1.5962,5.8623,-3.6998,-1.2599,13.961
-4.0294,1.5834,5.996,-3.6752,-1.2909,12.759
-4.0661,1.5704,6.1172,-3.6581,-1.314,11.477
-4.1026,1.5572,6.2253,-3.649,-1.3297,10.14
-4.1391,1.5438,6.3199,-3.6482,-1.3386,8.7677
-4.1756,1.5304,6.4007,-3.6557,-1.3412,7.3827
-4.2122,1.517,6.4676,-3.6712,-1.3382,6.0037
-4.2491,1.5037,6.5208,-3.694,-1.3301,4.6484
-4.2861,1.4904,6.5607,-3.7233,-1.3172,3.333
-4.3235,1.4774,6.5877,-3.7578,-1.3001,2.0722
-4.3613,1.4645,6.6024,-3.7962,-1.2793,0.87922
-4.3995,1.4518,6.6055,-3.8367,-1.2552,-0.23435
-4.4381,1.4394,6.598,-3.878,-1.2283,-1.2583
-4.477,1.4272,6.5807,-3.9183,-1.1989,-2.1841
-4.5164,1.4154,6.5546,-3.9561,-1.1674,-3.0045
-4.5561,1.4039,6.5209,-3.9903,-1.1343,-3.714
-4.5962,1.3927,6.4807,-4.0196,-1.0998,-4.3083
-4.6365,1.3819,6.4352,-4.0432,-1.0643,-4.7851
-4.677,1.3714,6.3854,-4.0603,-1.0281,-5.143
-4.7177,1.3613,6.3327,-4.0706,-0.99153,-5.3827
-4.7584,1.3516,6.2782,-4.0736,-0.95487,-5.506
-4.7991,1.3422,6.223,-4.0692,-0.91839,-5.5164
-4.8397,1.3332,6.1682,-4.0574,-0.88232,-5.4188
-4.8802,1.3246,6.1149,-4.0384,-0.84689,-5.2198
-4.9205,1.3163,6.0641,-4.0123,-0.81233,-4.9273
-4.9604,1.3083,6.0167,-3.9797,-0.77881,-4.5509
-5,1.3007,5.9733,-3.9411,-0.74653,-4.1015
-5.0392,1.2934,5.9348,-3.897,-0.71562,-3.5916
-5.078,1.2864,5.9017,-3.8483,-0.68624,-3.0354
-5.1162,1.2797,5.8742,-3.7958,-0.65851,-2.4483
-5.1539,1.2732,5.8527,-3.7405,-0.63253,-1.8474
-5.191,1.267,5.8373,-3.6832,-0.60838,-1.2514
-5.2275,1.261,5.8276,-3.625,-0.58614,-0.68021
-5.2635,1.2553,5.8235,-3.5667,-0.56585,-0.1555
-5.2989,1.2497,5.8243,-3.5091,-0.54755,0.29962
-5.3337,1.2443,5.8292,-3.4529,-0.53125,0.66053
-5.3679,1.2391,5.8371,-3.3986,-0.51695,0.9011
-5.4016,1.234,5.8467,-3.3464,-0.50462,0.99369
-5.4349,1.229,5.8567,-3.2957,-0.49247,0.99524
-5.4676,1.2241,5.8666,-3.2456,-0.47877,0.98286
-5.4998,1.2194,5.8763,-3.1961,-0.46361,0.95805
-5.5315,1.2149,5.8857,-3.1473,-0.44706,0.92223
-5.5627,1.2105,5.8947,-3.0993,-0.42921,0.87677
-5.5935,1.2063,5.9032,-3.0519,-0.41012,0.82299
-5.6238,1.2023,5.9111,-3.0052,-0.38989,0.76216
-5.6536,1.1985,5.9184,-2.9591,-0.36858,0.69548
-5.6829,1.1949,5.925,-2.9136,-0.34627,0.62411
-5.7119,1.1916,5.9309,-2.8686,-0.32303,0.54915
-5.7403,1.1885,5.936,-2.824,-0.29893,0.47165
-5.7683,1.1856,5.9403,-2.7798,-0.27405,0.3926
-5.7959,1.183,5.9438,-2.7359,-0.24844,0.31295
-5.8231,1.1806,5.9466,-2.6922,-0.22219,0.23357
-5.8498,1.1785,5.9485,-2.6486,-0.19535,0.15531
-5.876,1.1767,5.9497,-2.605,-0.16798,0.078934
-5.9019,1.1752,5.9501,-2.5615,-0.14016,0.0051683
-5.9273,1.1739,5.9498,-2.5177,-0.11194,-0.065317
-5.9522,1.1729,5.9488,-2.4738,-0.083393,-0.13191
-5.9767,1.1723,5.9472,-2.4296,-0.054565,-0.19404
-6.0008,1.1719,5.945,-2.385,-0.025518,-0.25121
-6.0244,1.1717,5.9422,-2.3401,0.0036894,-0.30296
-6.0476,1.1719,5.9389,-2.2946,0.033004,-0.34889
-6.0703,1.1724,5.9352,-2.2486,0.062371,-0.38867
-6.0926,1.1732,5.9312,-2.2021,0.091737,-0.42199
-6.1144,1.1742,5.9268,-2.155,0.12105,-0.44862
-6.1357,1.1756,5.9222,-2.1073,0.15027,-0.46838
-6.1565,1.1772,5.9175,-2.0589,0.17933,-0.48113
-6.1768,1.1792,5.9126,-2.0099,0.2082,-0.48682
-6.1967,1.1814,5.9077,-1.9603,0.23683,-0.4854
-6.2161,1.1839,5.9029,-1.9102,0.26517,-0.47693
-6.2349,1.1867,5.8982,-1.8594,0.29317,-0.46148
-6.2532,1.1898,5.8937,-1.8081,0.32081,-0.43919
-6.2711,1.1931,5.8895,-1.7564,0.34804,-0.41026
-6.2884,1.1967,5.8855,-1.7042,0.37481,-0.37495
-6.3051,1.2006,5.882,-1.6517,0.40109,-0.33355
-6.3214,1.2048,5.8789,-1.599,0.42685,-0.28643
-6.3371,1.2092,5.8763,-1.546,0.45205,-0.23398
-6.3523,1.2138,5.8742,-1.493,0.47665,-0.17669
-6.367,1.2187,5.8728,-1.44,0.50063,-0.11507
-6.3811,1.2238,5.8719,-1.3871,0.52394,-0.049694
-6.3947,1.2292,5.8718,-1.3344,0.54657,0.018811
-6.4078,1.2347,5.8723,-1.2821,0.56849,0.089762
-6.4204,1.2405,5.8736,-1.2302,0.58966,0.16242
-6.4324,1.2465,5.8756,-1.1789,0.61006,0.236
-6.444,1.2527,5.8783,-1.1283,0.62967,0.30966
-6.455,1.2591,5.8818,-1.0784,0.64847,0.38249
-6.4655,1.2657,5.8859,-1.0294,0.66642,0.45355
-6.4756,1.2724,5.8908,-0.98144,0.68352,0.52183
-6.4852,1.2794,5.8964,-0.9345,0.69974,0.58626
-6.4943,1.2864,5.9025,-0.8887,0.71507,0.64573
-6.5029,1.2937,5.9093,-0.84412,0.72948,0.69909
-6.5112,1.301,5.9165,-0.80079,0.74297,0.74509
-6.519,1.3085,5.9241,-0.75878,0.75552,0.78247
-6.5263,1.3161,5.9321,-0.7181,0.76712,0.80989
-6.5333,1.3239,5.9403,-0.67877,0.77776,0.82597
-6.5399,1.3317,5.9487,-0.64382,0.7785,0.85453
-6.5462,1.3394,5.9575,-0.61561,0.76239,0.91466
-6.5523,1.3469,5.967,-0.59292,0.73222,0.99834
-6.5581,1.354,5.9775,-0.57467,0.69063,1.0982
-6.5638,1.3606,5.989,-0.55988,0.64007,1.2074
-6.5693,1.3668,6.0017,-0.54772,0.5828,1.3198
-6.5748,1.3723,6.0154,-0.53746,0.52093,1.4299
-6.5801,1.3772,6.0302,-0.52847,0.45637,1.5328
-6.5853,1.3814,6.046,-0.52029,0.39087,1.6243
-6.5905,1.385,6.0627,-0.51253,0.32599,1.7007
-6.5956,1.3879,6.08,-0.50494,0.26312,1.7589
-6.6006,1.3903,6.0978,-0.49737,0.20347,1.7967
-6.6055,1.392,6.1158,-0.48977,0.14807,1.8121
-6.6104,1.3932,6.1339,-0.48216,0.097785,1.8042
-6.6152,1.394,6.1519,-0.47461,0.053283,1.7724
-6.6199,1.3943,6.1693,-0.46726,0.015071,1.7168
-6.6245,1.3943,6.1861,-0.46024,-0.016527,1.6382
-6.6291,1.394,6.202,-0.45372,-0.041362,1.5379
-6.6336,1.3935,6.2168,-0.44783,-0.059465,1.4179
-6.638,1.3928,6.2303,-0.44269,-0.071041,1.2809
-6.6425,1.3921,6.2424,-0.43837,-0.076476,1.1301
-6.6468,1.3913,6.2529,-0.43489,-0.076329,0.96942
-6.6512,1.3906,6.2617,-0.43223,-0.071339,0.80334
-6.6555,1.3899,6.2689,-0.43033,-0.062421,0.637
-6.6598,1.3894,6.2745,-0.42908,-0.050667,0.47616
-6.6641,1.3889,6.2785,-0.42833,-0.037348,0.32721
-6.6683,1.3886,6.2811,-0.42796,-0.023909,0.19716
-6.6726,1.3884,6.2825,-0.42781,-0.011974,0.093662
-6.6769,1.3884,6.2831,-0.42777,-0.0033454,0.024976
-6.6812,1.3883,6.2832,-0.42776,-1.8652E-14,-6.8834E-15
